code,country,Decade,e0,Rank
NLD,Netherlands,"(1985,1995]",76.35,7
NOR,Norway,"(1985,1995]",76.26,8
NZL_NP,New Zealand,"(1985,1995]",74.12,19
PRT,Portugal,"(1985,1995]",73.64,20
SWE,Sweden,"(1985,1995]",76.95,3
GBR_NP,United Kingdom,"(1985,1995]",74.8,13
USA,United States,"(1985,1995]",74.74,15
AUS,Australia,"(1995,2005]",78.35,5
AUT,Austria,"(1995,2005]",77.03,14
BEL,Belgium,"(1995,2005]",77.19,12
CAN,Canada,"(1995,2005]",78.27,7
CHE,Switzerland,"(1995,2005]",79.05,2
DEUTW,West Germany,"(1995,2005]",77.11,13
DNK,Denmark,"(1995,2005]",75.66,20
ESP,Spain,"(1995,2005]",78.34,6
FIN,Finland,"(1995,2005]",76.87,16
FRATNP,France (Total),"(1995,2005]",78.06,9
GRC,NA,"(1995,2005]",77.8,10
IRL,Ireland,"(1995,2005]",75.86,19
ITA,Italy,"(1995,2005]",78.43,4
JPN,Japan,"(1995,2005]",80.37,1
NLD,Netherlands,"(1995,2005]",77.55,11
NOR,Norway,"(1995,2005]",78.23,8
NZL_NP,New Zealand,"(1995,2005]",76.81,17
PRT,Portugal,"(1995,2005]",75.47,21
SWE,Sweden,"(1995,2005]",79.04,3
GBR_NP,United Kingdom,"(1995,2005]",76.88,15
USA,United States,"(1995,2005]",76.2,18
AUS,Australia,"(2005,2015]",81.3,4
AUT,Austria,"(2005,2015]",79.97,11
BEL,Belgium,"(2005,2015]",79.39,15
CAN,Canada,"(2005,2015]",80.56,8
CHE,Switzerland,"(2005,2015]",81.55,2
DEUTW,West Germany,"(2005,2015]",79.73,14
DNK,Denmark,"(2005,2015]",78.22,20
ESP,Spain,"(2005,2015]",80.98,5
FIN,Finland,"(2005,2015]",79.37,16
FRATNP,France (Total),"(2005,2015]",80.74,7
GRC,NA,"(2005,2015]",79.89,12
IRL,Ireland,"(2005,2015]",79.17,18
ITA,Italy,"(2005,2015]",81.42,3
JPN,Japan,"(2005,2015]",82.42,1
NLD,Netherlands,"(2005,2015]",79.84,13
NOR,Norway,"(2005,2015]",80.44,9
NZL_NP,New Zealand,"(2005,2015]",80.05,10
PRT,Portugal,"(2005,2015]",79.01,19
SWE,Sweden,"(2005,2015]",80.83,6
GBR_NP,United Kingdom,"(2005,2015]",79.36,17
USA,United States,"(2005,2015]",77.88,21
